Date,SP500_Adj_Close,SP500_1_day_return_forward,time_in_days,days_elapsed,log_SP500_Adj_Close,which_split,prior_estimated_log_fair_value,prior_estimated_ou_exponent,posterior_estimated_log_fair_value,posterior_estimated_ou_exponent,prior_variance_log_fair_value,prior_variance_ou_exponent,prior_covariance_log_fair_value_ou_exponent
2014-05-15,187.4,0.0034685165421557,2325,1.0,5.2332453698043215,test,5.242143630981445,-4.839825123781338e-05,5.233198642730713,4.6345157898031175e-05,0.005709411110728979,0.00041718571446835995,-0.0004726532497443259
2014-05-19,188.74,-0.0063049697997245,2329,4.0,5.240370406593187,test,5.233299255371094,3.096866566920653e-05,5.2404046058654785,-3.4133037843275815e-05,0.021587861701846123,0.000418388081016019,-0.0006105952197685838
2014-05-20,187.55,0.0084244201546253,2330,1.0,5.234045476527896,test,5.240429878234863,-3.0860606784699485e-05,5.234008312225342,3.7156289181439206e-05,0.0057094283401966095,0.0004171997425146401,-0.0004726687038782984
2014-05-21,189.13,0.0024321894992862,2331,1.0,5.242434609300363,test,5.234033584594727,3.359400943736546e-05,5.242490768432617,-5.598520874627866e-05,0.005709423683583736,0.00041719572618603706,-0.00047266436740756035
2014-05-22,189.59,0.004008650245266,2332,1.0,5.244863845813947,test,5.242516040802002,-5.0617749366210774e-05,5.244940280914307,-7.629477477166802e-05,0.005709419492632151,0.0004171925247646868,-0.0004726607585325837
2014-05-23,190.35,0.006146572104019,2333,1.0,5.248864482828506,test,5.244965553283691,-6.898018182255328e-05,5.248976230621338,-0.00011146189353894442,0.0057094162330031395,0.0004171899054199457,-0.0004726578772533685
2014-05-27,191.52,-0.0007309941520469,2337,4.0,5.2549922418096635,test,5.249076843261719,-7.44808348827064e-05,5.25512170791626,-0.00012986869842279702,0.02158786542713642,0.0004183899727649987,-0.0006105980137363076
2014-05-28,191.38,0.005172954331696,2338,1.0,5.254260980351117,test,5.2551469802856445,-0.00011741781781893224,5.254370212554932,-0.00010918878251686692,0.005709430202841759,0.00041720119770616293,-0.0004726703919004649
2014-05-29,192.37,0.0016114778811664,2339,1.0,5.25942060091809,test,5.254395484924316,-9.872054943116382e-05,5.259573936462402,-0.00015357183292508125,0.005709425080567598,0.00041719700675457716,-0.0004726657352875918
2014-05-30,192.68,0.0011158397342745,2340,1.0,5.26103078176202,test,5.259599208831787,-0.00013884846703149378,5.261186122894287,-0.00015565853391308337,0.005709420889616013,0.00041719351429492235,-0.0004726618935819715
2014-06-02,192.895,-0.000492495917468,2343,3.0,5.262145999409861,test,5.261261463165283,-0.00011504335270728916,5.262270450592041,-0.00012473958486225456,0.016295051202178,0.00041806872468441725,-0.0005691684782505035
2014-06-03,192.8,0.0020228215767634,2344,1.0,5.261653382176445,test,5.262295722961426,-0.00011278044985374436,5.261760711669922,-0.00010711414506658912,0.005709420423954725,0.0004171932814642787,-0.00047266160254366696
2014-06-04,193.19,0.006522076712045,2345,1.0,5.263674160604463,test,5.261785984039307,-9.684480755822733e-05,5.263792514801025,-0.00011809591524070129,0.005709417164325714,0.00041719048749655485,-0.000472658546641469
2014-06-05,194.45,0.0047570069426587,2346,1.0,5.270175060601757,test,5.26381778717041,-0.00010677372483769432,5.270350933074951,-0.00017597345868125558,0.00570941437035799,0.00041718827560544014,-0.0004726560437120497
2014-06-06,195.375,0.0010492642354447,2347,1.0,5.274920788741641,test,5.270376205444336,-0.00015910239017102867,5.275130748748779,-0.00020946039876434952,0.005709412042051554,0.0004171864129602909,-0.00047265400644391775
2014-06-09,195.58,0.0001022599447795,2350,3.0,5.275969502884129,test,5.275206089019775,-0.00015480697038583457,5.2761335372924805,-0.00016371668607462198,0.016295045614242554,0.00041806488297879696,-0.0005691632395610213
2014-06-10,195.6,-0.0034764826175869,2351,1.0,5.276071757600717,test,5.276158809661865,-0.00014802069927100092,5.276219844818115,-0.0001486690016463399,0.005709416698664427,0.00041719013825058937,-0.0004726581391878426
2014-06-11,194.92,-0.0070798276215883,2352,1.0,5.272589217975305,test,5.2762451171875,-0.00013441569171845913,5.272686004638672,-9.671728184912354e-05,0.005709413904696703,0.00041718798456713557,-0.0004726557235699147
2014-06-12,193.54,0.0030484654335021,2353,1.0,5.265484209452796,test,5.272711277008057,-8.744472143007442e-05,5.265495300292969,-1.1011827155016363e-05,0.005709411576390266,0.00041718618012964725,-0.00047265374450944364
2014-06-13,194.13,0.0008241899757894,2354,1.0,5.268528037737284,test,5.2655205726623535,-9.95609207166126e-06,5.268570423126221,-4.225862357998267e-05,0.0057094101794064045,0.0004171847249381244,-0.0004726521437987685
2014-06-16,194.29,0.0027793504555047,2357,3.0,5.269351888255022,test,5.268645763397217,-3.1232299079420045e-05,5.269390106201172,-3.838412158074789e-05,0.016295043751597404,0.00041806395165622234,-0.0005691620172001421
2014-06-17,194.83,0.0073140686752553,2358,1.0,5.2721273834577955,test,5.269415378570557,-3.470412775641307e-05,5.272191524505615,-6.410745845641941e-05,0.005709415767341852,0.0004171893815509975,-0.0004726573242805898
2014-06-18,196.255,0.0011464676059207,2359,1.0,5.279414834044973,test,5.272216796875,-5.7961296988651156e-05,5.279550552368164,-0.0001356398279312998,0.005709412973374128,0.00041718740249052644,-0.0004726550541818142
2014-06-19,196.48,-0.0027483713355048,2360,1.0,5.280560644958777,test,5.279575824737549,-0.00012263565440662205,5.280694961547852,-0.00013448878598865122,0.005709411110728979,0.00041718571446835995,-0.0004726532497443259
2014-06-20,195.94,-0.0003062161886291,2361,1.0,5.277808489916496,test,5.280720233917236,-0.00012159496691310778,5.277900218963623,-9.17274082894437e-05,0.005709409713745117,0.00041718437569215894,-0.0004726517363451421
2014-06-23,195.88,-0.0060240963855422,2364,3.0,5.277502226834117,test,5.277975559234619,-6.77934440318495e-05,5.277565956115723,-6.38567071291618e-05,0.016295041888952255,0.0004180637770332396,-0.0005691617843694985
2014-06-24,194.7,0.0045197740112996,2365,1.0,5.271459912378154,test,5.277591228485107,-5.7734585425350815e-05,5.271452903747559,7.2844704845920205e-06,0.005709415301680565,0.0004171893233433366,-0.00047265717876143754
2014-06-25,195.58,-0.0007158196134574,2366,1.0,5.275969502884129,test,5.271478176116943,6.586087692994624e-06,5.276010990142822,-4.142383113503456e-05,0.005709412973374128,0.0004171873442828655,-0.00047265502507798374
2014-06-26,195.44,0.0019443307408923,2367,1.0,5.275253426949485,test,5.276036262512207,-3.745241338037886e-05,5.275282859802246,-2.947375105577521e-05,0.005709411110728979,0.00041718565626069903,-0.00047265319153666496
2014-06-27,195.82,-0.0005106730671023,2368,1.0,5.277195869925925,test,5.275308132171631,-2.6648020138964057e-05,5.277243137359619,-4.714336682809517e-05,0.00570940924808383,0.000417184317484498,-0.0004726516781374812
2014-06-30,195.72,0.0066932352340078,2371,3.0,5.276685066420923,test,5.277318477630615,-3.484249100438319e-05,5.276714324951172,-2.9036844352958724e-05,0.016295041888952255,0.0004180637188255787,-0.0005691617261618376
2014-07-01,197.03,0.0010150738466223,2372,1.0,5.283356001407877,test,5.276739597320557,-2.6253001124132425e-05,5.283453464508057,-9.73671194515191e-05,0.005709415301680565,0.00041718926513567567,-0.0004726571205537766
2014-07-02,197.23,0.0049181159052882,2373,1.0,5.284370560415412,test,5.283478736877441,-8.803226228337735e-05,5.284469127655029,-9.852246876107529e-05,0.005709412973374128,0.0004171872860752046,-0.0004726549668703228
2014-07-03,198.2,-0.003481331987891,2374,1.0,5.289276621895888,test,5.284494400024414,-8.907684241421521e-05,5.289417743682861,-0.00014122655557002872,0.005709411110728979,0.0004171855980530381,-0.00047265313332900405
2014-07-07,197.51,-0.006430054174472,2378,4.0,5.285789215970766,test,5.289518356323242,-9.437010885449126e-05,5.2858500480651855,-6.075657802284695e-05,0.021587861701846123,0.0004183880228083581,-0.000610595103353262
2014-07-08,196.24,0.0044843049327354,2379,1.0,5.279338399950234,test,5.28587532043457,-5.493167191161774e-05,5.279323577880859,1.4463530533248559e-05,0.0057094283401966095,0.0004171996843069792,-0.0004726686456706375
2014-07-09,197.12,-0.0039569805194805,2380,1.0,5.283812680345155,test,5.279348850250244,1.3076871255179867e-05,5.283847332000732,-3.457140701357275e-05,0.005709423683583736,0.00041719572618603706,-0.0004726643383037299
2014-07-10,196.34,0.001375165529184,2381,1.0,5.2798478502643755,test,5.283872604370117,-3.12569500238169e-05,5.279836177825928,1.1495551007101312e-05,0.005709419492632151,0.0004171925247646868,-0.00047266078763641417
2014-07-11,196.61,0.0050353491684043,2382,1.0,5.2812220711194,test,5.2798614501953125,1.0393439879408106e-05,5.281225681304932,-4.058099875692278e-06,0.0057094162330031395,0.0004171899054199457,-0.0004726578772533685
2014-07-14,197.6,-0.0018724696356275,2385,3.0,5.286244785313768,test,5.281301021575928,-2.9992406780365855e-06,5.2862958908081055,-5.098983092466369e-05,0.016295047476887703,0.0004180668038316071,-0.0005691658589057624
2014-07-15,197.23,0.0037012624854231,2386,1.0,5.284370560415412,test,5.28632116317749,-4.6101293264655396e-05,5.284396171569824,-2.5712859496707097e-05,0.005709418561309576,0.00041719170985743403,-0.00047265985631383955
2014-07-16,197.96,-0.0113659325116185,2387,1.0,5.288064990083686,test,5.284421443939209,-2.3247695935424417e-05,5.288127422332764,-6.250316073419526e-05,0.005709415301680565,0.00041718926513567567,-0.0004726571496576071
2014-07-17,195.71,0.010218690920239,2388,1.0,5.276633971716878,test,5.288152694702148,-5.6510805734433234e-05,5.2765679359436035,6.619651685468853e-05,0.005709412973374128,0.0004171872860752046,-0.0004726549668703228
2014-07-18,197.7099,-0.0018709230038556,2389,1.0,5.286800804795351,test,5.276593208312988,5.9850070101674646e-05,5.286849498748779,-4.8783251259010285e-05,0.005709411110728979,0.0004171855980530381,-0.00047265313332900405
2014-07-21,197.34,0.0043579608796999,2392,3.0,5.28492812942902,test,5.286924839019775,-3.60544872819446e-05,5.284945487976074,-1.7036918507074006e-05,0.016295043751597404,0.00041806441731750965,-0.0005691626574844122
2014-07-22,198.2,0.0022199798183653,2393,1.0,5.289276621895888,test,5.284970760345459,-1.5403540601255372e-05,5.289338111877441,-6.166276580188423e-05,0.0057094162330031395,0.0004171897890046239,-0.0004726577317342162
2014-07-23,198.64,5.034232782930026e-05,2394,1.0,5.2914941411999115,test,5.289363384246826,-5.5750981118762866e-05,5.291573524475098,-7.91612546890974e-05,0.005709413439035416,0.000417187693528831,-0.00047265543253161013
2014-07-24,198.65,-0.0046816008054367,2395,1.0,5.291544482260608,test,5.291598796844482,-7.157184154493734e-05,5.291615962982178,-7.175561040639877e-05,0.005709411576390266,0.0004171859472990036,-0.00047265348257496953
2014-07-25,197.72,0.0004046125834513,2396,1.0,5.2868518884387585,test,5.2916412353515625,-6.487619975814596e-05,5.286866188049316,-1.4298875612439588e-05,0.005709409713745117,0.0004171845503151417,-0.0004726519400719553
2014-07-28,197.8,-0.0042972699696663,2399,3.0,5.287256419188612,test,5.2869415283203125,-1.0567943718342576e-05,5.2872700691223145,-1.3722884432354476e-05,0.016295043751597404,0.000418063864344731,-0.0005691619007848203
2014-07-29,196.95,0.0001523229246001,2400,1.0,5.282949889416915,test,5.287295341491699,-1.2407233043632004e-05,5.282916069030762,3.397952968953177e-05,0.005709415767341852,0.0004171893815509975,-0.00047265723696909845
2014-07-30,196.98,-0.0197481977865772,2401,1.0,5.283102200741556,test,5.2829413414001465,3.0721817893208936e-05,5.2830729484558105,2.9328230084502138e-05,0.005709412973374128,0.00041718740249052644,-0.0004726550541818142
2014-07-31,193.09,-0.003055569941478,2402,1.0,5.263156401454447,test,5.283098220825195,2.651645081641618e-05,5.262916088104248,0.0002402863756287843,0.005709411110728979,0.00041718571446835995,-0.0004726532497443259
2014-08-01,192.5,0.0072207792207792,2403,1.0,5.260096153727839,test,5.262941360473633,0.00021724944235756993,5.259845733642578,0.0002500368864275515,0.005709409713745117,0.00041718437569215894,-0.0004726517363451421
2014-08-04,193.89,-0.0096962195059053,2406,3.0,5.267290987942913,test,5.259921073913574,0.00018479603750165552,5.267175674438477,0.00011509127216413617,0.016295041888952255,0.0004180637770332396,-0.0005691617843694985
2014-08-05,192.01,0.000312483724806,2407,1.0,5.2575474540048255,test,5.267200946807861,0.00010405714419903234,5.257339000701904,0.0002085154119413346,0.005709415301680565,0.0004171893233433366,-0.00047265717876143754
2014-08-06,192.07,-0.0054146925600041,2408,1.0,5.2578598889167605,test,5.257364273071289,0.00018852445646189153,5.257674694061279,0.00018523701874073595,0.005709412973374128,0.0004171873442828655,-0.00047265502507798374
2014-08-07,191.03,0.0115688635292885,2409,1.0,5.25243048377556,test,5.257699966430664,0.00016747781774029136,5.252204895019531,0.00022568172425962985,0.005709411110728979,0.00041718565626069903,-0.00047265319153666496
2014-08-08,193.24,0.0028720761747049,2410,1.0,5.263932939686206,test,5.252230167388916,0.00020404497627168894,5.263851642608643,8.095039811450988e-05,0.00570940924808383,0.000417184317484498,-0.0004726516781374812
2014-08-11,193.795,-0.0013674243401531,2413,3.0,5.266800899330244,test,5.263926982879639,5.982842412777245e-05,5.266768455505371,3.252569513279013e-05,0.016295041888952255,0.0004180637188255787,-0.0005691617261618376
2014-08-12,193.53,0.00676897638609,2414,1.0,5.26543253921226,test,5.266793727874756,2.94073652185034e-05,5.265388011932373,4.429788896231912e-05,0.005709415301680565,0.00041718926513567567,-0.0004726571205537766
2014-08-13,194.84,0.0047218230342844,2415,1.0,5.272178708938342,test,5.265413284301758,4.0050927054835483e-05,5.272210597991943,-3.194608507328667e-05,0.005709412973374128,0.0004171872860752046,-0.0004726549668703228
2014-08-14,195.76,-0.0002043318348998,2416,1.0,5.276889419134416,test,5.272235870361328,-2.8883323466288857e-05,5.276968479156494,-7.901157368905842e-05,0.005709411110728979,0.0004171855980530381,-0.00047265313332900405
2014-08-15,195.72,0.0083793173921931,2417,1.0,5.276685066420923,test,5.276993751525879,-7.143650873331353e-05,5.276754379272461,-6.889947690069675e-05,0.00570940924808383,0.0004171842592768371,-0.0004726516199298203
2014-08-18,197.36,0.0052188893392783,2420,3.0,5.285029472221101,test,5.276829719543457,-5.092188803246245e-05,5.285160541534424,-0.00013096578186377883,0.016295041888952255,0.0004180637188255787,-0.0005691617261618376
2014-08-19,198.39,0.0026715056202428,2421,1.0,5.29023479035468,test,5.285185813903809,-0.0001184097200166434,5.290408134460449,-0.00017372466390952468,0.005709415301680565,0.00041718926513567567,-0.0004726571205537766
2014-08-20,198.92,0.0029157450231249,2422,1.0,5.292902733846538,test,5.290433406829834,-0.00015706919657532126,5.293087959289551,-0.00018518601427786052,0.005709412973374128,0.0004171872860752046,-0.0004726549668703228
2014-08-21,199.5,-0.0015538847117794,2423,1.0,5.295814236329918,test,5.2931132316589355,-0.00016743170272093266,5.296011924743652,-0.0001981365348910913,0.005709411110728979,0.0004171855980530381,-0.00047265313332900405
2014-08-22,199.19,0.0050705356694613,2424,1.0,5.294259143087182,test,5.296037197113037,-0.0001791406248230487,5.294421195983887,-0.00016202458937186748,0.00570940924808383,0.0004171842592768371,-0.0004726516199298203
2014-08-25,200.2,0.0006493506493507,2427,3.0,5.29931686688112,test,5.294496536254883,-0.00011974834342254326,5.299484729766846,-0.00016767383203841746,0.016295041888952255,0.0004180637188255787,-0.0005691617261618376
2014-08-26,200.33,-0.0003993410872061,2428,1.0,5.299966006793561,test,5.2995100021362305,-0.00015159846225287765,5.300124168395996,-0.00015810190234333277,0.005709415301680565,0.00041718926513567567,-0.0004726571205537766
2014-08-28,200.14,0.0028480063955231,2430,2.0,5.29901712166231,test,5.300174236297607,-0.00012923975009471178,5.299135684967041,-0.00011876720964210108,0.01100223045796156,0.0004176709917373955,-0.0005233398405835032
2014-08-29,200.71,-0.0004982312789596,2431,1.0,5.301861080171402,test,5.299160957336426,-0.00010738066339399666,5.301998615264893,-0.00013743722229264677,0.005709412042051554,0.00041718652937561274,-0.00047265415196307003
2014-09-02,200.61,-0.0005483276008175,2435,4.0,5.3013627247339965,test,5.302099227905273,-9.18380101211369e-05,5.301448345184326,-8.587637421442196e-05,0.021587863564491272,0.00041838843026198447,-0.0006105956854298711
